Paper,,,Experimental Design,,,,Demographic,,,,,,,,Game Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punishment Info,,,,Help/Compensation Info,,,,Keep info,,,Notes
No.,Title,Study,Lab or Online,Group Manipulation,Group manipulation Indicator,Group Selection/Instruction,Number of Valid Participants,Sample Source,Female,Male,Age (mean),Age (SD),Nationality,Country ,Game Type,Game explanation,Real or deception,One-shot Interaction? (Do participants believe that players will never meet again? Also Yes if third-parties are evaluating past interaction),Previous Engagement (Whether the participants enaged as players before),"Future Engagement (Whether the participants will, or believe they will, enegae as players later)",Multiplier in the game,Person A Endowments,Person B Endowments,Punisher Choices,Punisher Endowments,Punishment min,Punishment max,Punishment-Cost Ratio,Reward min,Reward Max,Reward-cost Ratio,Token/Monetary Unit or Currency?,"Exchange Rate
Per Token/Monetary Unit to Money",Currency,Person A Affiliation Manipulated or Not?,Between or Within?,Person B Affliation Manipulated or Not?,Between or Within?,Fairness/Cooperativeness of Person A Manipulated or Not?,Between or Within?,Definition of Fairness/Cooperativeness,Fairness/Cooperativeness of Person B Manipulated or Not?,Between or Within?,Other IV,Between or Within,Levels,Fairness/Cooperativeness of Person A,Fairness/Cooperativeness of Person B,Person A affiliation,Recipient/Player B Affliation,N by condition,Trials per Participant,Total Trials,P_Proportion,P_Frequency,P_Average Invested Amount,P_SD invested amount ,H_Proportion ,H_Frequency,H_Average Invested Amount,K_SD invested amount ,K_Proportion ,K_Frequency,K_SD,Notes
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Selfish,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Selfish,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,1,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,87,Undergraduates,41,46,20.16,1.86,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Punish Only,50,0,50,3,NA,NA,NA,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Single,,,Ingroup ,Unaffiliated,44,3,132,,37,3.85,2.62,,,,,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,1,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,87,Undergraduates,41,46,20.16,1.86,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Punish Only,50,0,50,3,NA,NA,NA,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Single,,,Outgroup ,Unaffiliated,44,3,132,,100,10.64,2.17,,,,,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,1,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,87,Undergraduates,41,46,20.16,1.86,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Punish Only,50,0,50,3,NA,NA,NA,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Single,,,Unaffiliated,Unaffiliated,44,3,132,,84,8.18,2.78,,,,,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,1,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,87,Undergraduates,41,46,20.16,1.86,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Punish Only,50,0,50,3,NA,NA,NA,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Multiple,,,Ingroup ,Unaffiliated,43,3,129,,39,4,2.36,,,,,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,1,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,87,Undergraduates,41,46,20.16,1.86,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Punish Only,50,0,50,3,NA,NA,NA,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Multiple,,,Outgroup ,Unaffiliated,43,3,129,,86,8.56,2.33,,,,,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,1,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,87,Undergraduates,41,46,20.16,1.86,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Punish Only,50,0,50,3,NA,NA,NA,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Multiple,,,Unaffiliated,Unaffiliated,43,3,129,,86,8.43,2.33,,,,,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,2,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,85,University Students,46,39,20.34,1.7,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Compensate Only,50,NA,NA,NA,0,50,3,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Single,,,Ingroup ,Unaffiliated,42,3,126,,,,,,85,9.73,2.92,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,2,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,85,University Students,46,39,20.34,1.7,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Compensate Only,50,NA,NA,NA,0,50,3,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Single,,,Outgroup ,Unaffiliated,42,3,126,,,,,,40,4.49,2.44,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,2,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,85,University Students,46,39,20.34,1.7,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Compensate Only,50,NA,NA,NA,0,50,3,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Single,,,Unaffiliated,Unaffiliated,42,3,126,,,,,,59,6.36,2.34,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,2,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,85,University Students,46,39,20.34,1.7,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Compensate Only,50,NA,NA,NA,0,50,3,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Multiple,,,Ingroup ,Unaffiliated,43,3,129,,,,,,82,9.48,2.46,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,2,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,85,University Students,46,39,20.34,1.7,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Compensate Only,50,NA,NA,NA,0,50,3,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Multiple,,,Outgroup ,Unaffiliated,43,3,129,,,,,,63,6.64,2.97,,,,
30,Impact of Social Identity Complexity in Unfair Events on Intergroup Bias in Third-Party Fairness Maintenance,2,Lab,Experimental,Colour Preference,Participants freely selected a sticky note color (yellow or blue) to form two groups (A and B). Group membership was displayed to participants during tasks. Unaffiliated members were introduced as participants who did not go through the grouping process.,85,University Students,46,39,20.34,1.7,,China,Dictator Game,"In each trial, a “dictator” (Person A) allocated 100 tokens between themselves and a “recipient” (Person B). Each token was worth 0.1 RMB. Allocation options ranged from 90:10 to 10:90. In the third-party fairness maintenance phase, the participant (Person C) observed the allocation and decided either to retain it or to punish (Experiment 1) or compensate (Experiment 2).",Deception,No,Yes,No,1,100,0,Compensate Only,50,NA,NA,NA,0,50,3,Token,0.1,Yuan in CNY,Yes,Within,No,NA,No,NA,NA,No,NA,Social Identity Complexity,Between,Multiple,,,Unaffiliated,Unaffiliated,43,3,129,,,,,,58,6.81,3.33,,,,
35,Competition Between Organizational Groups: Its Impact on Altruistic and Antisocial Motivations,2,Lab,Natural,Platoon Affiliation,Swiss Army platoon membership,244,Swiss Army officers in training (male),0,244,,,,Switzerland ,Prisoner's Dilemma,"Two A-players played PD with 20 points each (4 points = 1 CHF); passed points doubled; two B-players could assign up to 10 deduction points (cost 1, -3 to A-player)",Real,,No,No,2,20,20,Punish Only,70,0,10,3,NA,NA,NA,Token,0.25,CHF,Yes,Between,Yes,Between,No,NA,NA,No,NA,Economic Environment,,Neutral,,,Ingroup ,Ingroup ,41,,,,,,,,,,,,,,
35,Competition Between Organizational Groups: Its Impact on Altruistic and Antisocial Motivations,2,Lab,Natural,Platoon Affiliation,Swiss Army platoon membership,244,Swiss Army officers in training (male),0,244,,,,Switzerland ,Prisoner's Dilemma,"Two A-players played PD with 20 points each (4 points = 1 CHF); passed points doubled; two B-players could assign up to 10 deduction points (cost 1, -3 to A-player)",Real,,No,No,2,20,20,Punish Only,70,0,10,3,NA,NA,NA,Token,0.25,CHF,Yes,Between,Yes,Between,No,NA,NA,No,NA,Economic Environment,,Neutral,,,Ingroup ,Outgroup,41,,,,,,,,,,,,,,
35,Competition Between Organizational Groups: Its Impact on Altruistic and Antisocial Motivations,2,Lab,Natural,Platoon Affiliation,Swiss Army platoon membership,244,Swiss Army officers in training (male),0,244,,,,Switzerland ,Prisoner's Dilemma,"Two A-players played PD with 20 points each (4 points = 1 CHF); passed points doubled; two B-players could assign up to 10 deduction points (cost 1, -3 to A-player)",Real,,No,No,2,20,20,Punish Only,70,0,10,3,NA,NA,NA,Token,0.25,CHF,Yes,Between,Yes,Between,No,NA,NA,No,NA,Economic Environment,,Neutral,,,Outgroup ,Ingroup ,41,,,,,,,,,,,,,,
35,Competition Between Organizational Groups: Its Impact on Altruistic and Antisocial Motivations,2,Lab,Natural,Platoon Affiliation,Swiss Army platoon membership,244,Swiss Army officers in training (male),0,244,,,,Switzerland ,Prisoner's Dilemma,"Two A-players played PD with 20 points each (4 points = 1 CHF); passed points doubled; two B-players could assign up to 10 deduction points (cost 1, -3 to A-player)",Real,,No,No,2,20,20,Punish Only,70,0,10,3,NA,NA,NA,Token,0.25,CHF,Yes,Between,Yes,Between,No,NA,NA,No,NA,Economic Environment,,Neutral,,,Outgroup ,Outgroup,41,,,,,,,,,,,,,,
35,Competition Between Organizational Groups: Its Impact on Altruistic and Antisocial Motivations,2,Lab,Natural,Platoon Affiliation,Swiss Army platoon membership,244,Swiss Army officers in training (male),0,244,,,,Switzerland ,Prisoner's Dilemma,"Two A-players played PD with 20 points each (4 points = 1 CHF); passed points doubled; two B-players could assign up to 10 deduction points (cost 1, -3 to A-player)",Real,,No,No,2,20,20,Punish Only,70,0,10,3,NA,NA,NA,Token,0.25,CHF,Yes,Between,Yes,Between,No,NA,NA,No,NA,Economic Environment,,Competitive,,,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
35,Competition Between Organizational Groups: Its Impact on Altruistic and Antisocial Motivations,2,Lab,Natural,Platoon Affiliation,Swiss Army platoon membership,244,Swiss Army officers in training (male),0,244,,,,Switzerland ,Prisoner's Dilemma,"Two A-players played PD with 20 points each (4 points = 1 CHF); passed points doubled; two B-players could assign up to 10 deduction points (cost 1, -3 to A-player)",Real,,No,No,2,20,20,Punish Only,70,0,10,3,NA,NA,NA,Token,0.25,CHF,Yes,Between,Yes,Between,No,NA,NA,No,NA,Economic Environment,,Competitive,,,Ingroup ,Outgroup,,,,,,,,,,,,,,,
35,Competition Between Organizational Groups: Its Impact on Altruistic and Antisocial Motivations,2,Lab,Natural,Platoon Affiliation,Swiss Army platoon membership,244,Swiss Army officers in training (male),0,244,,,,Switzerland ,Prisoner's Dilemma,"Two A-players played PD with 20 points each (4 points = 1 CHF); passed points doubled; two B-players could assign up to 10 deduction points (cost 1, -3 to A-player)",Real,,No,No,2,20,20,Punish Only,70,0,10,3,NA,NA,NA,Token,0.25,CHF,Yes,Between,Yes,Between,No,NA,NA,No,NA,Economic Environment,,Competitive,,,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
35,Competition Between Organizational Groups: Its Impact on Altruistic and Antisocial Motivations,2,Lab,Natural,Platoon Affiliation,Swiss Army platoon membership,244,Swiss Army officers in training (male),0,244,,,,Switzerland ,Prisoner's Dilemma,"Two A-players played PD with 20 points each (4 points = 1 CHF); passed points doubled; two B-players could assign up to 10 deduction points (cost 1, -3 to A-player)",Real,,No,No,2,20,20,Punish Only,70,0,10,3,NA,NA,NA,Token,0.25,CHF,Yes,Between,Yes,Between,No,NA,NA,No,NA,Economic Environment,,Competitive,,,Outgroup ,Outgroup,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,1,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,314,"Credamo
Prolific",138,176,27.45,7.72,"American
British
Chinese",China,Dictator Game,Player 1 & 2 solve tasks to earn 30 jiao; Player 1 allocates either 0 or 15 jiao to Player 2; Player 3 (participant) can spend 0–10 jiao to deduct triple from Player 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,Yes,Within,"Fair: 15
Unfair: 0",No,NA,Culture Group,Between,Chinese,Fair,,Ingroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,1,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,314,"Credamo
Prolific",138,176,27.45,7.72,"American
British
Chinese",China,Dictator Game,Player 1 & 2 solve tasks to earn 30 jiao; Player 1 allocates either 0 or 15 jiao to Player 2; Player 3 (participant) can spend 0–10 jiao to deduct triple from Player 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,Yes,Within,"Fair: 15
Unfair: 0",No,NA,Culture Group,Between,Chinese,Fair,,Outgroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,1,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,314,"Credamo
Prolific",138,176,27.45,7.72,"American
British
Chinese",China,Dictator Game,Player 1 & 2 solve tasks to earn 30 jiao; Player 1 allocates either 0 or 15 jiao to Player 2; Player 3 (participant) can spend 0–10 jiao to deduct triple from Player 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,Yes,Within,"Fair: 15
Unfair: 0",No,NA,Culture Group,Between,Chinese,Unfair,,Ingroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,1,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,314,"Credamo
Prolific",138,176,27.45,7.72,"American
British
Chinese",China,Dictator Game,Player 1 & 2 solve tasks to earn 30 jiao; Player 1 allocates either 0 or 15 jiao to Player 2; Player 3 (participant) can spend 0–10 jiao to deduct triple from Player 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,Yes,Within,"Fair: 15
Unfair: 0",No,NA,Culture Group,Between,Chinese,Unfair,,Outgroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,1,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,314,"Credamo
Prolific",138,176,27.45,7.72,"American
British
Chinese",China,Dictator Game,Player 1 & 2 solve tasks to earn 30 jiao; Player 1 allocates either 0 or 15 jiao to Player 2; Player 3 (participant) can spend 0–10 jiao to deduct triple from Player 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,Yes,Within,"Fair: 15
Unfair: 0",No,NA,Culture Group,Between,Western,Fair,,Ingroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,1,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,314,"Credamo
Prolific",138,176,27.45,7.72,"American
British
Chinese",China,Dictator Game,Player 1 & 2 solve tasks to earn 30 jiao; Player 1 allocates either 0 or 15 jiao to Player 2; Player 3 (participant) can spend 0–10 jiao to deduct triple from Player 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,Yes,Within,"Fair: 15
Unfair: 0",No,NA,Culture Group,Between,Western,Fair,,Outgroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,1,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,314,"Credamo
Prolific",138,176,27.45,7.72,"American
British
Chinese",China,Dictator Game,Player 1 & 2 solve tasks to earn 30 jiao; Player 1 allocates either 0 or 15 jiao to Player 2; Player 3 (participant) can spend 0–10 jiao to deduct triple from Player 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,Yes,Within,"Fair: 15
Unfair: 0",No,NA,Culture Group,Between,Western,Unfair,,Ingroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,1,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,314,"Credamo
Prolific",138,176,27.45,7.72,"American
British
Chinese",China,Dictator Game,Player 1 & 2 solve tasks to earn 30 jiao; Player 1 allocates either 0 or 15 jiao to Player 2; Player 3 (participant) can spend 0–10 jiao to deduct triple from Player 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,Yes,Within,"Fair: 15
Unfair: 0",No,NA,Culture Group,Between,Western,Unfair,,Outgroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,2a,Lab,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,60,University Students,36,24,22.18,3.45,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,Cognitive Load,Between,High,,,Ingroup ,Unaffiliated,30,4,118,,26,0.68,1.74,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,2a,Lab,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,60,University Students,36,24,22.18,3.45,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,Cognitive Load,Between,High,,,Outgroup ,Unaffiliated,30,4,118,,75,3.96,4.1,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,2a,Lab,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,60,University Students,36,24,22.18,3.45,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,Cognitive Load,Between,Low,,,Ingroup ,Unaffiliated,30,4,120,,16,0.5,1.67,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,2a,Lab,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,60,University Students,36,24,22.18,3.45,Chinese,China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,Cognitive Load,Between,Low,,,Outgroup ,Unaffiliated,30,4,120,,80,4.49,4.04,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,2b,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,290,Prolific,195,95,33.14,11.35,"American
British",China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,Cognitive Load,Between,High,,,Ingroup ,Unaffiliated,,,,,,,,,,,,,,,
38,Reflexive or reflective? Group bias in third-party punishment in Chinese and Western cultures,2b,Online,Experimental,Color Preference, Participants were asked to join either a blue or yellow team depending on which color they preferred,290,Prolific,195,95,33.14,11.35,"American
British",China,Dictator Game,Same as study 1,Deception,Not Reported,No,No,1,30,0,Punish Only,10,0,10,3,NA,NA,NA,Currecny,,Cent in CNY,Yes,Within,No,NA,"Yes (but not reported in articles, non included in data)",NA,NA,No,NA,Cognitive Load,Between,High,,,Outgroup ,Unaffiliated,,,,,,,,,,,,,,,
